id,category,hop_count,question,expected_answer,source_chunk_ids,jury_agreement,chain_divergence,review_status,review_notes,gold_status
FH01,factual_single_hop,1,"If a flight crew reports hearing a very loud bang accompanied by yaw and heavy vibration, what engine failure mode has likely occurred?",The engine has likely experienced a compressor surge or stall.,D3_c03,unanimous,False,kept,,frozen
FH02,factual_single_hop,1,What is the recommended operational mitigation if ground crews observe a tailpipe fire during engine start-up?,The quickest way to extinguish most tailpipe fires is to dry motor the engine.,D3_c22,unanimous,False,kept,,frozen
FH03,factual_single_hop,1,How does the engine physically control the clearance between the rotor blade tips and the case wall during operation?,"Air is extracted from the compressor and ducted onto the engine cases to cool them, which shrinks the cases and controls the clearance between the blade tips and the wall.",D3_c32,unanimous,False,kept,,frozen
FH04,factual_single_hop,1,Operating a turbofan in dusty or sandy environments can cause what specific damage to the High-Pressure Turbine (HPT) components?,Particulate material from those environments can block the HPT vane and blade cooling holes.,D1_c08,unanimous,False,kept,,frozen
FH05,factual_single_hop,1,During what specific phase of an engine's operational life are the rates of blade tip wear and resulting deterioration the highest?,"Deterioration rates are highest in the initial 1,000 to 2,000 engine flight cycles of operation as the new blade tips begin to wear.",D1_c03,unanimous,False,kept,,frozen
FH06,factual_single_hop,1,What physical evidence collected by chip detectors indicates distress inside the bearing compartment?,The collection of bearing compartment particles on the detectors.,D3_c18,unanimous,False,kept,,frozen
MH01,multi_hop_causal,2,How can a failing bearing eventually trigger an oil filter bypass indication in the cockpit?,"A distressed or failing bearing generates metal particles and debris. If this debris travels through the lubrication system, it can clog the oil filter, forcing it into a bypass state.",D3_c18;D3_c20,unanimous,False,kept,,frozen
MH02,multi_hop_causal,2,Why does a hot rotor reburst event degrade engine efficiency?,"A hot rotor reburst causes different thermal growth rates between rotating and stationary structures, leading to high-pressure turbine blade rubs. These rubs permanently increase blade tip running clearances, which causes efficiency losses.",D4_c05;D4_c01,unanimous,False,kept,,frozen
MH03,multi_hop_causal,2,How could the failure of a single fuel tank boost pump potentially cause a multiple-engine flameout?,"The boost pump failure can generate debris that clogs the fuel filter. Once clogged, the disrupted fuel flow or contamination bypassing the filter introduces the potential for a multiple-engine flameout.",D3_c29;D3_c30,unanimous,False,kept,,frozen
MH04,multi_hop_causal,2,"If a compressor surge is sustained and the crew does not retard the thrust lever, what severe mechanical damage and physical symptoms can result?","Sustained surging will overheat the turbine and can cause compressor blades to fail, leading to severe engine damage that manifests as high vibration or fire warnings.",D3_c07;D3_c31,unanimous,False,kept,,frozen
MH05,multi_hop_causal,2,How does an aerodynamic stall of the compressor airfoils potentially cause an engine flameout?,"When airfoils stall, the compressor can no longer compress incoming air, resulting in unstable engine operation (a compressor surge). This unstable operation can then interrupt combustion and lead to a flameout.",D3_c01;D3_c09,unanimous,False,kept,,frozen
MH06,multi_hop_causal,2,How does a bird strike lead to an unrecoverable engine surge?,"Ingesting a bird can bend or fracture one or more fan blades. These fractured blades instantly disrupt airflow, triggering a compressor surge that the engine will likely not recover from.",D3_c28;D3_c27,unanimous,False,kept,,frozen
MH07,multi_hop_causal,2,"If fuel puddles in the turbine casing during shutdown, what consequence occurs and what is the required maintenance intervention?","The puddled fuel can ignite into a tailpipe fire. To mitigate this, personnel must immediately dry motor the engine, which is the quickest way to extinguish it.",D3_c21;D3_c22,unanimous,False,kept,,frozen
MH08,multi_hop_causal,2,Why does operating aircraft on shorter stage lengths result in more rapid performance deterioration?,"Shorter stage lengths mean the engine is operating at high takeoff thrust more frequently per hour of flight. Higher thrust generates higher core temperatures, exposing parts to greater thermal stress that drives rapid deterioration.",D1_c18;D1_c04,majority,False,kept,"GPT-5.6 alone did not surface the full thrust->core-temp->thermal-stress mechanism despite equal corpus access (Opus5 and Qwen both did). Verified against source (EngineMaintenanceConcepts.pdf S10.1/10.2): thrust->core temperature->thermal stress (10.1) and shorter flight length-> more time at takeoff/climb power (10.2) are adjacent, explicit, stated facts. Gold answer confirmed correct as legitimate synthesis of two adjacent corpus passages, not an unsupported inference. Kept as-is.",frozen
CD01,cross_document,2,"What is the primary physical cause of engine performance deterioration, and what on-wing maintenance procedure can temporarily restore some of the lost EGT margin?","The primary cause is increased blade tip clearances. However, some performance deterioration is caused by contamination, which can be temporarily restored by regular engine water washing.",D4_c02;D1_c10,unanimous,False,kept,,frozen
CD02,cross_document,2,"When an engine ingests a bird, what form of damage occurs, and what aerodynamic failure mode does it trigger?","Ingesting a bird is classified as Foreign Object Damage (FOD). This FOD can fracture the fan blades, which instantly triggers an unrecoverable compressor surge.",D1_c15;D3_c27,unanimous,False,kept,,frozen
CD03,cross_document,2,"If an older engine is experiencing high scrap rates due to cracked and chipped blades, what major maintenance event is required to rectify this?","An engine overhaul, where the engine core is completely dismantled to formally inspect, repair, and replace those worn parts.",D1_c14;D7_c01,unanimous,False,kept,,frozen
CD04,cross_document,2,"What inspection method is used on-wing to find internal blade cracks, and what distinct inspection process is used to find them during a shop overhaul?","On-wing, borescope monitoring is used to inspect internal parts for cracks. During a shop overhaul, Non-Destructive Testing (NDT) inspection is utilized.",D1_c12;D7_c02,unanimous,False,kept,,frozen
CD05,cross_document,2,How does the widening of clearances between turbine blade tips and static seals affect the two main operational efficiency metrics monitored by airlines?,"It reduces engine efficiency, which erodes the EGT margin and negatively affects the cruise specific fuel consumption (SFC).",D1_c01;D4_c03,unanimous,False,kept,,frozen
